Dardel,Tetralith,Alvis,Vera,Pelle,Bianca,Kebnekaise,Cosmos
,,,X,,,,
X,,,,,,,
X,X,,,X,,,
X,,,,,,,
X,,,,,,,
X,,,,,,,
X,,,,,,,
,,X,,,X,,
X,,,,,,,
X,,,,,X,,
,,,,,,,X
X,,,,,,,
X,,,,,,,
,,,,,,X,
,X,,,,,,
X,,,,,,X,
,,,,,,,X
,,X,,,,,
,,,,,,,
,X,,,,,,
,,,,,,X,
,X,,,,,,
X,,,,,,,
,,,,,,,
X,,,,,,,
X,,,,,,,
,,,,,,,X
X,,,,,,,X
,,,,,,,
X,,,,,,,
,,,,,,X,
X,,,,,,X,
X,,,,,,,
X,,,,,X,,
X,,,,,,,
,X,X,,,,,X
,,,,,,,
,,,,,,,
X,,,,,,,
,,,,,,,
,X,,,,,,
X,X,,,,,,
,,X,,,,,
,,,,,,,
X,,,,,,,
,,,,,,,X
,,X,,,,,
,,X,,,,,
X,,,,,,,
,,X,,,,,
X,,,,,,,
,,,,,,X,
,,,,,,,
,,,,,,,X
,X,,,,,,
,,,,,X,,
X,X,X,,X,,,
,,,,X,,,
X,,,,,,,
,,,,,,,X
,,X,,,,,
,,,,,,,
X,,,,,,,
,,,,,,,
X,,,,,,,
X,X,,,,,,
